股票代號,買進日期,賣出日期,買進價格,賣出價格,做多機率(買進時),做空機率(賣出時),報酬率,賣出原因
2618,2025-02-04,2025-02-05,46.7,45.75,0.7314,N/A (被擠出),-0.0261,滿檔換股
3706,2025-02-05,2025-02-06,69.0,70.4,0.7362,N/A (被擠出),0.0143,滿檔換股
1301,2025-02-06,2025-02-07,33.9,34.35,0.749,N/A (被擠出),0.0074,滿檔換股
3019,2025-02-07,2025-02-10,180.5,185.5,0.763,0.8046,0.0217,做空模型預警賣出
3019,2025-02-10,2025-02-11,185.5,183.5,0.7397,N/A (被擠出),-0.0166,滿檔換股
2417,2025-02-11,2025-02-12,50.6,52.7,0.744,N/A (被擠出),0.0354,滿檔換股
3363,2025-02-12,2025-02-13,363.0,343.0,0.7622,0.8166,-0.0606,做空模型預警賣出
3294,2025-02-13,2025-02-14,40.65,41.7,0.7246,N/A (被擠出),0.0198,滿檔換股
3661,2025-02-14,2025-02-17,3675.0,3625.0,0.7474,N/A (被擠出),-0.0194,滿檔換股
8096,2025-02-17,2025-02-18,72.5,72.0,0.7721,0.8027,-0.0127,做空模型預警賣出
8096,2025-02-18,2025-02-25,72.0,78.0,0.7568,N/A (被擠出),0.077,滿檔換股
2014,2025-02-25,2025-03-04,23.0,23.55,0.7722,N/A (被擠出),0.0179,滿檔換股
2606,2025-03-04,2025-03-05,71.4,77.0,0.7852,0.8001,0.0721,做空模型預警賣出
4533,2025-03-05,2025-03-06,41.25,40.75,0.7394,N/A (被擠出),-0.0179,滿檔換股
8096,2025-03-06,2025-03-07,67.5,64.5,0.7622,N/A (被擠出),-0.05,滿檔換股
2408,2025-03-07,2025-04-08,36.8,34.9,0.7857,N/A (被擠出),-0.0572,滿檔換股
3017,2025-04-08,2025-07-08,378.0,770.0,0.8129,0.8344,1.0251,做空模型預警賣出
5483,2025-07-08,2025-07-11,95.7,97.9,0.7699,N/A (被擠出),0.017,滿檔換股
3661,2025-07-11,2025-09-24,3420.0,3576.0,0.801,N/A (價格觸發),0.0395,高點回落20%停損
3450,2025-09-25,2025-09-30,274.0,276.0,0.7448,N/A (被擠出),0.0014,滿檔換股
8299,2025-09-30,2025-10-02,689.0,796.0,0.7754,N/A (被擠出),0.1485,滿檔換股
1802,2025-10-02,2025-10-09,28.5,32.05,0.7898,0.8039,0.118,做空模型預警賣出
1802,2025-10-09,2025-11-18,32.05,30.68,0.7959,N/A (價格觸發),-0.0483,高點回落20%停損
2324,2025-11-19,2025-11-20,28.8,29.85,0.7216,N/A (被擠出),0.0304,滿檔換股
6274,2025-11-20,2025-11-28,405.5,434.0,0.7631,0.817,0.064,做空模型預警賣出
3450,2025-11-28,2025-12-01,248.5,252.5,0.7392,N/A (被擠出),0.0102,滿檔換股
2408,2025-12-01,2025-12-03,147.0,153.0,0.7462,0.8431,0.0347,做空模型預警賣出
3711,2025-12-03,2025-12-15,233.0,237.5,0.7696,0.8044,0.0134,做空模型預警賣出
8110,2025-12-15,2025-12-18,52.7,50.6,0.7483,N/A (被擠出),-0.0455,滿檔換股
2368,2025-12-18,2025-12-22,581.0,626.0,0.7748,N/A (被擠出),0.0712,滿檔換股
3711,2025-12-22,2026-02-10,234.0,358.0,0.8018,0.8086,0.521,做空模型預警賣出
3163,2026-02-10,2026-02-11,560.0,565.0,0.7818,N/A (被擠出),0.003,滿檔換股
2408,2026-02-11,2026-02-23,266.5,295.0,0.821,0.8345,0.1005,做空模型預警賣出
3163,2026-02-23,2026-03-03,640.0,840.0,0.7771,N/A (被擠出),0.3048,滿檔換股
4991,2026-03-03,2026-03-05,389.5,313.6,0.7971,N/A (價格觸發),-0.1996,高點回落20%停損
2337,2026-03-06,2026-03-09,107.0,92.3,0.7795,0.8451,-0.1424,做空模型預警賣出
1802,2026-03-09,2026-03-13,53.2,52.5,0.7864,N/A (被擠出),-0.0189,滿檔換股
6223,2026-03-13,2026-03-16,3600.0,3645.0,0.8044,0.8184,0.0066,做空模型預警賣出
2485,2026-03-16,2026-03-18,64.3,79.7,0.7764,N/A (被擠出),0.2323,滿檔換股
3702,2026-03-18,2026-03-19,91.8,92.6,0.7813,0.8251,0.0028,做空模型預警賣出
6223,2026-03-19,2026-03-20,3660.0,3665.0,0.8036,0.8268,-0.0045,做空模型預警賣出
3030,2026-03-20,2026-03-23,268.5,244.0,0.7653,N/A (被擠出),-0.0966,滿檔換股
6239,2026-03-23,2026-04-30,193.5,205.5,0.81,N/A (被擠出),0.0558,滿檔換股
3105,2026-04-30,2026-05-04,530.0,553.0,0.8128,0.8145,0.0373,做空模型預警賣出
00738U,2026-05-04,2026-05-07,61.2,62.35,0.77,N/A (被擠出),0.0128,滿檔換股
6182,2026-05-07,2026-05-08,51.5,56.3,0.7722,N/A (被擠出),0.0868,滿檔換股
3363,2026-05-08,2026-05-11,778.0,819.0,0.7945,0.834,0.0465,做空模型預警賣出
2472,2026-05-11,2026-05-12,219.0,221.5,0.79,0.8107,0.0055,做空模型預警賣出
2337,2026-05-12,2026-05-13,159.5,149.0,0.8109,0.8226,-0.0713,做空模型預警賣出
2303,2026-05-13,2026-05-14,102.0,102.0,0.7599,0.8104,-0.0058,做空模型預警賣出
6213,2026-05-14,2026-05-19,282.0,243.5,0.774,N/A (被擠出),-0.1416,滿檔換股
4979,2026-05-19,2026-05-21,541.0,579.0,0.7789,0.8211,0.064,做空模型預警賣出
3033,2026-05-21,2026-05-22,51.8,53.0,0.756,N/A (被擠出),0.0172,滿檔換股
3455,2026-05-22,2026-05-25,306.0,293.5,0.758,N/A (被擠出),-0.0465,滿檔換股
6239,2026-05-25,2026-05-26,311.0,342.0,0.807,0.8063,0.0933,做空模型預警賣出
5243,2026-05-26,2026-05-27,143.0,134.5,0.7877,N/A (被擠出),-0.0649,滿檔換股
3081,2026-05-27,2026-05-29,3170.0,2615.0,0.8076,N/A,-0.1799,期末平倉
